,ambiguity_type,distance_bert,distance_elmo,overlap,pos,same,source,string,version,word
62,Polysemy,0.3994929790496826,0.08150982856750488,high overlap,N,False,Klepousniotou et al (2008),dream,M1_a_M2_b,dream
63,Polysemy,0.21761667728424072,0.09005624055862427,high overlap,N,False,Klepousniotou et al (2008),dream,M1_b_M2_a,dream
64,Polysemy,0.47020310163497925,0.07409286499023438,high overlap,N,False,Klepousniotou et al (2008),dream,M1_b_M2_b,dream
65,Polysemy,0.3547890782356262,0.057070255279541016,high overlap,N,True,Klepousniotou et al (2008),dream,M2_a_M2_b,dream
66,Polysemy,0.06824570894241333,0.029020071029663086,high overlap,N,True,Klepousniotou et al (2008),dress,M1_a_M1_b,dress
67,Polysemy,0.12599939107894897,0.06011676788330078,high overlap,N,False,Klepousniotou et al (2008),dress,M1_a_M2_a,dress
68,Polysemy,0.10317236185073853,0.04584789276123047,high overlap,N,False,Klepousniotou et al (2008),dress,M1_a_M2_b,dress
69,Polysemy,0.10343652963638306,0.04563140869140625,high overlap,N,False,Klepousniotou et al (2008),dress,M1_b_M2_a,dress
70,Polysemy,0.061182498931884766,0.039044201374053955,high overlap,N,False,Klepousniotou et al (2008),dress,M1_b_M2_b,dress
71,Polysemy,0.08584827184677124,0.03261256217956543,high overlap,N,True,Klepousniotou et al (2008),dress,M2_a_M2_b,dress
72,Polysemy,0.610408216714859,0.07932645082473755,high overlap,N,True,Klepousniotou et al (2008),examination,M1_a_M1_b,examination
73,Polysemy,0.6024446785449982,0.08150559663772583,high overlap,N,False,Klepousniotou et al (2008),examination,M1_a_M2_a,examination
74,Polysemy,0.5786647796630859,0.046325504779815674,high overlap,N,False,Klepousniotou et al (2008),examination,M1_a_M2_b,examination
75,Polysemy,0.3546147346496582,0.15794891119003296,high overlap,N,False,Klepousniotou et al (2008),examination,M1_b_M2_a,examination
76,Polysemy,0.23961299657821655,0.06977558135986328,high overlap,N,False,Klepousniotou et al (2008),examination,M1_b_M2_b,examination
77,Polysemy,0.13705110549926758,0.0903245210647583,high overlap,N,True,Klepousniotou et al (2008),examination,M2_a_M2_b,examination
78,Unsure,0.11989879608154297,0.04600566625595093,high overlap,N,True,Klepousniotou et al (2008),guard,M1_a_M1_b,guard
79,Unsure,0.3135864734649658,0.09436756372451782,high overlap,N,False,Klepousniotou et al (2008),guard,M1_a_M2_a,guard
80,Unsure,0.29101312160491943,0.08625131845474243,high overlap,N,False,Klepousniotou et al (2008),guard,M1_a_M2_b,guard
81,Unsure,0.3235092759132385,0.08913558721542358,high overlap,N,False,Klepousniotou et al (2008),guard,M1_b_M2_a,guard
82,Unsure,0.2895039916038513,0.07963961362838745,high overlap,N,False,Klepousniotou et al (2008),guard,M1_b_M2_b,guard
83,Unsure,0.16523414850234985,0.07791393995285034,high overlap,N,True,Klepousniotou et al (2008),guard,M2_a_M2_b,guard
84,Polysemy,0.09755146503448486,0.053415894508361816,high overlap,N,True,Klepousniotou et al (2008),home,M1_a_M1_b,home
85,Polysemy,0.32141709327697754,0.11113607883453369,high overlap,N,False,Klepousniotou et al (2008),home,M1_a_M2_a,home
86,Polysemy,0.29455089569091797,0.11193650960922241,high overlap,N,False,Klepousniotou et al (2008),home,M1_a_M2_b,home
87,Polysemy,0.324015736579895,0.08975875377655029,high overlap,N,False,Klepousniotou et al (2008),home,M1_b_M2_a,home
88,Polysemy,0.32826870679855347,0.09411501884460449,high overlap,N,False,Klepousniotou et al (2008),home,M1_b_M2_b,home
89,Polysemy,0.19091904163360596,0.05200624465942383,high overlap,N,True,Klepousniotou et al (2008),home,M2_a_M2_b,home
90,Polysemy,0.12789791822433472,0.03246808052062988,high overlap,N,True,Klepousniotou et al (2008),lunch,M1_a_M1_b,lunch
91,Polysemy,0.0730743408203125,0.05375140905380249,high overlap,N,False,Klepousniotou et al (2008),lunch,M1_a_M2_a,lunch
92,Polysemy,0.4683953523635864,0.045113563537597656,high overlap,N,False,Klepousniotou et al (2008),lunch,M1_a_M2_b,lunch
93,Polysemy,0.13222217559814453,0.03485912084579468,high overlap,N,False,Klepousniotou et al (2008),lunch,M1_b_M2_a,lunch
94,Polysemy,0.4708075523376465,0.033151984214782715,high overlap,N,False,Klepousniotou et al (2008),lunch,M1_b_M2_b,lunch
95,Polysemy,0.4631763696670532,0.05576026439666748,high overlap,N,True,Klepousniotou et al (2008),lunch,M2_a_M2_b,lunch
96,Unsure,0.833962932229042,0.0584714412689209,high overlap,N,True,Klepousniotou et al (2008),magazine,M1_a_M1_b,magazine
97,Unsure,0.8173455446958542,0.06982201337814331,high overlap,N,False,Klepousniotou et al (2008),magazine,M1_a_M2_a,magazine
98,Unsure,0.8554240167140961,0.07605034112930298,high overlap,N,False,Klepousniotou et al (2008),magazine,M1_a_M2_b,magazine
99,Unsure,0.09122735261917114,0.07936805486679077,high overlap,N,False,Klepousniotou et al (2008),magazine,M1_b_M2_a,magazine
100,Unsure,0.11968690156936646,0.08118116855621338,high overlap,N,False,Klepousniotou et al (2008),magazine,M1_b_M2_b,magazine
101,Unsure,0.12260109186172485,0.07340127229690552,high overlap,N,True,Klepousniotou et al (2008),magazine,M2_a_M2_b,magazine
102,Polysemy,0.20085614919662476,0.04863893985748291,high overlap,N,True,Klepousniotou et al (2008),medicine,M1_a_M1_b,medicine
103,Polysemy,0.25308871269226074,0.07714396715164185,high overlap,N,False,Klepousniotou et al (2008),medicine,M1_a_M2_a,medicine
104,Polysemy,0.302926242351532,0.07877284288406372,high overlap,N,False,Klepousniotou et al (2008),medicine,M1_a_M2_b,medicine
105,Polysemy,0.27274036407470703,0.07156449556350708,high overlap,N,False,Klepousniotou et al (2008),medicine,M1_b_M2_a,medicine
106,Polysemy,0.3057066798210144,0.06905323266983032,high overlap,N,False,Klepousniotou et al (2008),medicine,M1_b_M2_b,medicine
107,Polysemy,0.26897305250167847,0.0466647744178772,high overlap,N,True,Klepousniotou et al (2008),medicine,M2_a_M2_b,medicine
108,Polysemy,0.10842180252075195,0.05665028095245361,high overlap,N,True,Klepousniotou et al (2008),message,M1_a_M1_b,message
109,Polysemy,0.16379910707473755,0.13017791509628296,high overlap,N,False,Klepousniotou et al (2008),message,M1_a_M2_a,message
110,Polysemy,0.34203559160232544,0.163038969039917,high overlap,N,False,Klepousniotou et al (2008),message,M1_a_M2_b,message
111,Polysemy,0.12003934383392334,0.13008666038513184,high overlap,N,False,Klepousniotou et al (2008),message,M1_b_M2_a,message
112,Polysemy,0.2616051435470581,0.15389221906661987,high overlap,N,False,Klepousniotou et al (2008),message,M1_b_M2_b,message
113,Polysemy,0.18251079320907593,0.03352254629135132,high overlap,N,True,Klepousniotou et al (2008),message,M2_a_M2_b,message
114,Polysemy,0.08201366662979126,0.043462157249450684,high overlap,N,True,Klepousniotou et al (2008),newspaper,M1_a_M1_b,newspaper
115,Polysemy,0.2550576329231262,0.08670419454574585,high overlap,N,False,Klepousniotou et al (2008),newspaper,M1_a_M2_a,newspaper
116,Polysemy,0.2738373875617981,0.08386397361755371,high overlap,N,False,Klepousniotou et al (2008),newspaper,M1_a_M2_b,newspaper
117,Polysemy,0.2512580156326294,0.08286291360855103,high overlap,N,False,Klepousniotou et al (2008),newspaper,M1_b_M2_a,newspaper
118,Polysemy,0.3031103014945984,0.0853722095489502,high overlap,N,False,Klepousniotou et al (2008),newspaper,M1_b_M2_b,newspaper
119,Polysemy,0.10532432794570923,0.031964778900146484,high overlap,N,True,Klepousniotou et al (2008),newspaper,M2_a_M2_b,newspaper
120,Unsure,0.5017043054103851,0.0660862922668457,high overlap,N,True,Klepousniotou et al (2008),novel,M1_a_M1_b,novel
121,Unsure,0.5944176614284515,0.07372313737869263,high overlap,N,False,Klepousniotou et al (2008),novel,M1_a_M2_a,novel
122,Unsure,0.48078250885009766,0.037942469120025635,high overlap,N,False,Klepousniotou et al (2008),novel,M1_a_M2_b,novel
123,Unsure,0.18798363208770752,0.09663575887680054,high overlap,N,False,Klepousniotou et al (2008),novel,M1_b_M2_a,novel
124,Unsure,0.14608585834503174,0.0925980806350708,high overlap,N,False,Klepousniotou et al (2008),novel,M1_b_M2_b,novel
125,Unsure,0.14257937669754028,0.09592705965042114,high overlap,N,True,Klepousniotou et al (2008),novel,M2_a_M2_b,novel
126,Unsure,0.1271451711654663,0.0859760046005249,high overlap,N,True,Klepousniotou et al (2008),oil,M1_a_M1_b,oil
127,Unsure,0.2397221326828003,0.11538660526275635,high overlap,N,False,Klepousniotou et al (2008),oil,M1_a_M2_a,oil
128,Unsure,0.23644059896469116,0.09009766578674316,high overlap,N,False,Klepousniotou et al (2008),oil,M1_a_M2_b,oil
129,Unsure,0.25399982929229736,0.10381317138671875,high overlap,N,False,Klepousniotou et al (2008),oil,M1_b_M2_a,oil
130,Unsure,0.18523269891738892,0.0898560881614685,high overlap,N,False,Klepousniotou et al (2008),oil,M1_b_M2_b,oil
131,Unsure,0.24327021837234497,0.044749677181243896,high overlap,N,True,Klepousniotou et al (2008),oil,M2_a_M2_b,oil
132,Polysemy,0.16798996925354004,0.04110008478164673,moderate overlap,N,True,Klepousniotou et al (2008),act,M1_a_M1_b,act
133,Polysemy,0.2029259204864502,0.05280584096908569,moderate overlap,N,False,Klepousniotou et al (2008),act,M1_a_M2_a,act
134,Polysemy,0.21561551094055176,0.04593151807785034,moderate overlap,N,False,Klepousniotou et al (2008),act,M1_a_M2_b,act
135,Polysemy,0.2781903147697449,0.06292104721069336,moderate overlap,N,False,Klepousniotou et al (2008),act,M1_b_M2_a,act
136,Polysemy,0.2252715826034546,0.05768322944641113,moderate overlap,N,False,Klepousniotou et al (2008),act,M1_b_M2_b,act
137,Polysemy,0.19586938619613647,0.04405999183654785,moderate overlap,N,True,Klepousniotou et al (2008),act,M2_a_M2_b,act
138,Polysemy,0.12975817918777466,0.03726440668106079,moderate overlap,N,True,Klepousniotou et al (2008),atmosphere,M1_a_M1_b,atmosphere
139,Polysemy,0.35273683071136475,0.10275810956954956,moderate overlap,N,False,Klepousniotou et al (2008),atmosphere,M1_a_M2_a,atmosphere
140,Polysemy,0.25629663467407227,0.06820636987686157,moderate overlap,N,False,Klepousniotou et al (2008),atmosphere,M1_a_M2_b,atmosphere
