"","word","version_with_order","ambiguity_type","dominance_right","sd_dominance"
"274","course","M1_a_M2_b","Polysemy",-0.777777777777778,1.39443337755679
"275","course","M1_b_M2_a","Polysemy",-1.36363636363636,0.924416277737175
"276","course","M1_b_M2_b","Polysemy",-1.53846153846154,0.877058019307029
"277","course","M2_a_M1_a","Polysemy",1,0
"278","course","M2_a_M1_b","Polysemy",1.55555555555556,0.52704627669473
"279","course","M2_b_M1_a","Polysemy",1.16666666666667,1.33711584684304
"280","course","M2_b_M1_b","Polysemy",0.916666666666667,0.996204919895622
"281","cross","M1_a_M2_a","Polysemy",-1.6,0.966091783079296
"282","cross","M1_a_M2_b","Polysemy",-1.66666666666667,0.5
"283","cross","M1_b_M2_a","Polysemy",-1.30769230769231,1.31558702896054
"284","cross","M1_b_M2_b","Polysemy",-1.71428571428571,0.487950036474267
"285","cross","M2_a_M1_a","Polysemy",1.4,1.26491106406735
"286","cross","M2_a_M1_b","Polysemy",-0.25,1.54478595163331
"287","cross","M2_b_M1_a","Polysemy",1.77777777777778,0.440958551844098
"288","cross","M2_b_M1_b","Polysemy",0.75,1.48804761828569
"289","date","M1_a_M2_a","Polysemy",0.0909090909090909,1.51357493732854
"290","date","M1_a_M2_b","Polysemy",-0.785714285714286,1.57765997255777
"291","date","M1_b_M2_a","Polysemy",0.272727272727273,1.4893561757289
"292","date","M1_b_M2_b","Polysemy",-0.333333333333333,1.50554530541816
"293","date","M2_a_M1_a","Polysemy",-0.428571428571429,1.39727626201154
"294","date","M2_a_M1_b","Polysemy",-0.181818181818182,1.16774841624228
"295","date","M2_b_M1_a","Polysemy",0,1.09544511501033
"296","date","M2_b_M1_b","Polysemy",-0.166666666666667,1.80067327475704
"297","degree","M1_a_M2_a","Polysemy",-0.888888888888889,1.45296631451356
"298","degree","M1_a_M2_b","Polysemy",-1.4,0.547722557505166
"299","degree","M1_b_M2_a","Polysemy",-1.55555555555556,0.52704627669473
"300","degree","M1_b_M2_b","Polysemy",-1.16666666666667,0.834847109936722
"301","degree","M2_a_M1_a","Polysemy",1.11111111111111,0.927960727138337
"302","degree","M2_a_M1_b","Polysemy",1,0.866025403784439
"303","degree","M2_b_M1_a","Polysemy",1.18181818181818,1.16774841624228
"304","degree","M2_b_M1_b","Polysemy",0.928571428571429,1.32805732697661
"305","design","M1_a_M2_a","Polysemy",0,1.73205080756888
"306","design","M1_a_M2_b","Polysemy",-0.222222222222222,1.20185042515466
"307","design","M1_b_M2_a","Polysemy",0.333333333333333,1.50554530541816
"308","design","M1_b_M2_b","Polysemy",-0.1,1.44913767461894
"309","design","M2_a_M1_a","Polysemy",0.75,1.57056253191863
"310","design","M2_a_M1_b","Polysemy",-0.285714285714286,1.60356745147455
"311","design","M2_b_M1_a","Polysemy",-0.642857142857143,1.15072838853303
"312","design","M2_b_M1_b","Polysemy",-0.615384615384615,1.38675049056307
"313","dinner","M1_a_M2_a","Polysemy",-0.4,1.34164078649987
"314","dinner","M1_a_M2_b","Polysemy",-0.0833333333333333,1.56427928995103
"315","dinner","M1_b_M2_a","Polysemy",0.166666666666667,1.46680440124618
"316","dinner","M1_b_M2_b","Polysemy",-0.25,1.66904592079256
"317","dinner","M2_a_M1_a","Polysemy",-0.636363636363636,1.12006493318265
"318","dinner","M2_a_M1_b","Polysemy",0.4,1.26491106406735
"319","dinner","M2_b_M1_a","Polysemy",-0.2,1.75119007154183
"320","dinner","M2_b_M1_b","Polysemy",-0.2,1.54919333848297
"321","drain","M1_a_M2_a","Polysemy",0.666666666666667,1.66969421987344
"322","drain","M1_a_M2_b","Polysemy",0.5,1.22474487139159
"323","drain","M1_b_M2_a","Polysemy",1.71428571428571,0.487950036474267
"324","drain","M1_b_M2_b","Polysemy",0.75,1.16496474502144
"325","drain","M2_a_M1_a","Polysemy",-1.125,0.991031208965115
"326","drain","M2_a_M1_b","Polysemy",-1.375,1.06066017177982
"327","drain","M2_b_M1_a","Polysemy",-0.941176470588235,1.34492510178514
"328","drain","M2_b_M1_b","Polysemy",-1.25,0.866025403784439
"329","draw","M1_a_M2_a","Polysemy",0.363636363636364,1.36181696807811
"330","draw","M1_a_M2_b","Polysemy",1.5,0.534522483824849
"331","draw","M1_b_M2_a","Polysemy",0.416666666666667,1.67648622440092
"332","draw","M1_b_M2_b","Polysemy",1.42857142857143,1.13389341902768
"333","draw","M2_a_M1_a","Polysemy",-1.36363636363636,0.924416277737175
"334","draw","M2_a_M1_b","Polysemy",-1.13333333333333,1.35576371027375
"335","draw","M2_b_M1_a","Polysemy",-1.83333333333333,0.408248290463863
"336","draw","M2_b_M1_b","Polysemy",-1.5,0.534522483824849
"337","dream","M1_a_M2_a","Polysemy",0,1.4142135623731
"338","dream","M1_a_M2_b","Polysemy",-1,1
"339","dream","M1_b_M2_a","Polysemy",-0.642857142857143,1.49908396938022
"340","dream","M1_b_M2_b","Polysemy",-1.25,1
"341","dream","M2_a_M1_a","Polysemy",0.125,1.5526475085203
"342","dream","M2_a_M1_b","Polysemy",0.777777777777778,1.39443337755679
"343","dream","M2_b_M1_a","Polysemy",1.18181818181818,1.16774841624228
"344","dream","M2_b_M1_b","Polysemy",1.375,1.06066017177982
"345","drill","M1_a_M2_a","Homonymy",0.75,1.29099444873581
"346","drill","M1_a_M2_b","Homonymy",0.444444444444444,1.66666666666667
"347","drill","M1_b_M2_a","Homonymy",-0.166666666666667,1.64224532179869
"348","drill","M1_b_M2_b","Homonymy",1.11111111111111,0.927960727138337
"349","drill","M2_a_M1_a","Homonymy",-0.5,1.6431676725155
"350","drill","M2_a_M1_b","Homonymy",-0.285714285714286,1.25356634105602
"351","drill","M2_b_M1_a","Homonymy",-1.15384615384615,0.800640769025436
"352","drill","M2_b_M1_b","Homonymy",-0.833333333333333,1.47196014438797
"353","examination","M1_a_M2_a","Polysemy",-1,1.4142135623731
"354","examination","M1_a_M2_b","Polysemy",-0.5,1.60356745147455
"355","examination","M1_b_M2_a","Polysemy",-0.307692307692308,1.49357598761135
"356","examination","M1_b_M2_b","Polysemy",-0.0833333333333333,1.56427928995103
"357","examination","M2_a_M1_a","Polysemy",1,1.5
"358","examination","M2_a_M1_b","Polysemy",0.142857142857143,1.77281052085584
"359","examination","M2_b_M1_a","Polysemy",0.444444444444444,1.3814835257889
"360","examination","M2_b_M1_b","Polysemy",-0.285714285714286,1.88982236504614
"361","fan","M1_a_M2_a","Homonymy",-1.75,0.462910049886276
